EVENT_ID;ORN_ROAD_NET_ELEMENT_ID;AT_MEASURE;TOLL_POINT_TYPE;AGENCY_NAME;NATIONAL_UUID;EFFECTIVE_DATETIME;SYSTEM_DATETIME;OBJECTID
4068465;1500661365;784.864;Virtual;MINISTRY OF TRANSPORTATION;e64e3ed6a1d64377ae0407a289634028;20120412120554;20210731081808;5197
4068474;1512092799;187.366;Virtual;MINISTRY OF TRANSPORTATION;f1a23469ce86471a81f5375538097432;20120411120513;20210731081808;5198
4068481;1500611768;613.841;Virtual;MINISTRY OF TRANSPORTATION;9500462823c14b5ab882e7dd447096b6;20120208115109;20210731081808;5199
4068484;1500551253;252.728;Virtual;MINISTRY OF TRANSPORTATION;199add22fd5c462cb1c0d54a72349137;20120807094734;20210731081808;5200
4068555;1500710465;560.948;Virtual;MINISTRY OF TRANSPORTATION;06ded0dfae794dca800babbbcfae45b7;20190129114611;20210731081808;5201
4068561;1500580967;730.338;Virtual;MINISTRY OF TRANSPORTATION;e479b759391f4be2a1b53c350c722fff;20130527152639;20210731081808;5202
4068569;1500626363;818.782;Virtual;MINISTRY OF TRANSPORTATION;1933ef3d847f44948912fe41a16b186e;20130527154635;20210731081808;5203
6542170;6410761;715.262;Virtual;MINISTRY OF TRANSPORTATION;6c35fbc9d4c04aaabfcf20c14568217e;20170126130716;20210731081808;5204
6542194;6410785;283.024;Virtual;MINISTRY OF TRANSPORTATION;ce681a7c90f94c56a153671a2571f7b5;20191003131902;20210731081808;5205
6542347;6411602;417.014;Virtual;MINISTRY OF TRANSPORTATION;408619991b28465a8c30c3f34ca13c47;20170126130817;20210731081808;5206
6542818;6413660;548.874;Virtual;MINISTRY OF TRANSPORTATION;6aec6e2f623445798b8531fd55b759f0;20191106144722;20210731081808;5207
6542839;6413671;312.635;Virtual;MINISTRY OF TRANSPORTATION;abdb3249db8e46c789cf51c046f1e0c1;20191106144723;20210731081808;5208
6543040;6408907;716.395;Virtual;ONTARIO ROAD NETWORK;c21cc6750b684349ae250c5ed68839f5;20191003094148;20210731081808;5209
1506096805;1500424612;303.944;Virtual;MINISTRY OF TRANSPORTATION;3d270c4507df4afc877051e4a77b0562;20120330135451;20210731081808;5210
