EVENT_ID;ORN_ROAD_NET_ELEMENT_ID;FROM_MEASURE;TO_MEASURE;STRUCTURE_TYPE;STRUCTURE_NAME_ENGLISH;STRUCTURE_NAME_FRENCH;AGENCY_NAME;NATIONAL_UUID;EFFECTIVE_DATETIME;SYSTEM_DATETIME;OBJECTID
9132;1500628722;957.666;942.797;Bridge;;;;335dfbd3252143f1b3b9199641fc0dbf;20121017155658;20210731081808;239190
7325;1500625923;41.104;57.044;Bridge;;;;6d0a06d776634bc1bb5468e77171413f;20181214141619;20210731081808;239191
9796;1500628392;2522.259;2545.412;Bridge;;;;c606b83ce1e34892abdc11b23092ba12;20140502090451;20210731081808;239192
2812;1500632751;474.621;490.712;Bridge;;;;8ba21de1742041b6b5efae1decaecd08;20201113141904;20210731081808;239194
4351;1500629116;230.450;241.636;Bridge;;;;df6c09beae7749058ea8fced06e7e8ac;20090514130151;20210731081808;239196
2593;1500633688;302.944;319.582;Bridge;;;MINISTRY OF NATURAL RESOURCES AND FORESTRY;80f4de99984c4f61b085e80ad7ec137f;20130325125621;20210731081808;239197
11562;6562175;7865.401;7874.618;Bridge;;;;d3fd0bd4e8f84823b55fa014872c8bed;20170208093341;20210731081808;239198
7845;1500633870;1391.085;1403.458;Bridge;;;;7b0ed81fa5754fbfb752fac9a38f9d83;20090514130151;20210731081808;239200
10139;1500629896;1684.150;1709.938;Bridge;BEAR CREEK BRIDGE;;MINISTRY OF TRANSPORTATION;4311a00dde07406f8af1134627463b52;20121101124152;20210731081808;239201
3741;1500634247;1565.998;1574.548;Bridge;;;;bdb700f92f1c403c8d2d68bdf7432ba6;20130821111433;20210731081808;239203
6842;1500634107;130.755;186.454;Bridge;;;MINISTRY OF NATURAL RESOURCES AND FORESTRY;ae101ce7293e4fc1a30cc3a78d09cbe9;20150828101545;20210731081808;239204
43;1500703771;92.890;109.378;Bridge;;;;0255df04e7bb49d6b632dcd5091d26d0;20130410115740;20210731081808;239208
8440;1500704488;124.553;157.860;Bridge;;;;157bb6e8486f4e51a685c85017d06a0c;20130404081717;20210731081808;239209
12257;1500707681;58.953;84.450;Bridge;;;;55eeed30623b4e4ba8549270357b5943;20090514130151;20210731081808;239210
9741;1500707796;4286.107;4277.051;Bridge;;;;0f727b30dbc84c5ebdff60a9a094bdc3;20090514130151;20210731081808;239211
10832;7247811;129.759;171.497;Bridge;;;;fcd9ea040b5c4f2d9fee0f62c861fa53;20190226114854;20210731081808;239212
2927;1500704923;0.000;116.504;Bridge;;;;91ddb7a253494790a68d8fb7d1e89bc4;20101230142202;20210731081808;239214
11931;1500706590;1692.483;1706.370;Bridge;;;;33ce3e046e6f416195a75711fbd86123;20201202143430;20210731081808;239215
12258;1500708292;1808.076;1766.401;Bridge;;;;3542cb50618242e083ffac679412549b;20090514130151;20210731081808;239217
1569;1500712250;52.079;59.078;Bridge;;;;4c73a30be20d4eea84aa3f82b0008bf7;20090514130151;20210731081808;239218
4624;1500709052;1868.000;1941.057;Bridge;;;;ed747b0bc35c456ea44935c822b87866;20090514130151;20210731081808;239219
11316;1500709357;696.438;714.160;Bridge;;;;6585f41ae9ee45f4978b7d0d4d9216e8;20090514130151;20210731081808;239220
5630;1500710162;672.773;763.028;Bridge;;;MINISTRY OF NATURAL RESOURCES AND FORESTRY;6c69fcd997b74b61bb823abbe17086b6;20130319160120;20210731081808;239222
3090;1500714184;97.624;170.848;Bridge;;;;9a880f1a5d9244bb9f313487f48df04c;20101126161410;20210731081808;239224
5225;1500714276;284.872;305.027;Bridge;;;;20590952622e4684999ed34b4b446007;20100920133243;20210731081808;239225
4820;1500712828;3459.713;3473.748;Bridge;;;;f8287d5f1c1b44a383fdcd6d98a4ed50;20180405151205;20210731081808;239226
11317;1500710297;198.395;220.768;Bridge;;;;ee772bb999d341949b6cbda98e643c4f;20110404150702;20210731081808;239227
348;1500710856;79.564;93.142;Bridge;;;;10b14db856ab44a3b9f190dab79e981e;20190523155359;20210731081808;239228
12599;1500709614;327.894;462.519;Bridge;;;;4c684b1744ea4e6d96ab46596d376804;20130219103301;20210731081808;239229
5226;1500714663;97.567;125.972;Bridge;;;MINISTRY OF TRANSPORTATION;8623167d21004886a3921359b49cb212;20130501143350;20210731081808;239231
8815;1500716938;74.029;99.640;Bridge;;;;b1f74700a3fe4af0876ffec9bfa93b62;20090514130151;20210731081808;239233
4938;1500711748;161.430;173.162;Bridge;;;;fe79b1297e4d43c68ecd749202f49a7b;20150209114756;20210731081808;239235
529;1500711871;197.716;274.182;Bridge;;;;1ab6c1d264564761b00c481fbd7bdd70;20140716114343;20210731081808;239236
1851;1500713779;2422.874;2458.715;Bridge;;;;5b3efba5b1db459eb9855e9cd00c78ee;20180314110454;20210731081808;239237
4732;1500710082;2017.867;2034.628;Bridge;;;;f3efe42cb52f4a1d89a85491db9b608d;20090514130151;20210731081808;239238
