EVENT_ID;ORN_ROAD_NET_ELEMENT_ID;AT_MEASURE;BLOCKED_PASSAGE_TYPE;AGENCY_NAME;NATIONAL_UUID;EFFECTIVE_DATETIME;SYSTEM_DATETIME;OBJECTID
1502525172;1500415028;0.000;Removable;;4faa6233cf964ce8ba9cd2ea436de1fe;20091022155646;20210731081808;5727034
1502523323;1500429721;0.000;Removable;;3cce19e6d41b4fb48b0054f1585792a7;20091022155646;20210731081808;5727036
1502522624;1500433336;34.798;Removable;;06a63ebfce564233b683a34540005f58;20090123131209;20210731081808;5727037
1502526815;1500444288;0.000;Removable;;c5b8a9bbc7f9461992b78baab57d5262;20091022155646;20210731081808;5727038
1502526956;1500453067;30.075;Removable;;86a5764e663844e8be78a06a4857bf48;20110407125421;20210731081808;5727039
1502525506;1500464815;9.897;Removable;;1ad3932f1417410396491b88e8788048;20090123131209;20210731081808;5727041
1502527224;1500486350;0.000;Removable;;4a602c48434647a2b71e90c94375e0fb;20090123131209;20210731081808;5727042
1502525069;1500494307;0.000;Removable;;c0c27eb91b074f1993589e6940900c41;20090123131209;20210731081808;5727044
1502524132;1500494839;23.002;Removable;;58a95d7d03eb46a1a5efcb472fb93689;20090123131209;20210731081808;5727045
1502523236;1500492050;0.000;Removable;;3cedc8b53d5f4a728c2a8ee32283351b;20090123131209;20210731081808;5727046
1502525078;1500488688;0.000;Removable;;b69bf66c233f48b8ab9fe7444aa27f27;20180313153744;20210731081808;5727047
1502523088;1500499915;35.874;Removable;;6e3b112e64114f81afad3ca0919bceca;20090123131209;20210731081808;5727048
1502523076;1500504302;2714.471;Removable;;df0d6576f1944802ade5280ff2be6fec;20090123131209;20210731081808;5727049
1502524469;1500541912;1455.908;Removable;;07d760c9aa58447b91c321aa1eff6a16;20090123131209;20210731081808;5727051
1502525574;1500551598;34.297;Removable;;e6027e293aba4344959952fb5d3bad80;20160209162409;20210731081808;5727052
1502525265;1500548929;7.070;Removable;;db034f9ef4744daf81c784cfa1969f33;20090123131209;20210731081808;5727053
1502525370;1500554717;13.056;Removable;;3536d34efc1143c684e8b82d11f37f2a;20140711162506;20210731081808;5727054
1502524756;1500562307;42.212;Removable;;b3d3e9ef9c9742708569de0325cce71e;20090123131209;20210731081808;5727056
1502525657;1500585136;583.326;Removable;;14e697e3dc89407c8aaabd1415c6b0fc;20090123131209;20210731081808;5727058
1502525504;1500576897;19.330;Removable;;604cc96501384f5b9d554359d82d4537;20130812135510;20210731081808;5727059
1502524953;1500598351;9.060;Removable;;5d038c9b43e149228b4d269aea6df3a6;20090123131209;20210731081808;5727060
1502523938;1500605343;345.615;Removable;;f4b1cf0c5bf64145852ad1c8cd930e8e;20090123131209;20210731081808;5727061
1502526839;1500613376;7.068;Removable;;925769c01e564898ab55805d57454398;20090123131209;20210731081808;5727063
1502523078;1500616116;0.000;Removable;;0b64f82bc7504fe2899f8f5e5f71742d;20090123131209;20210731081808;5727064
1502524064;1500616153;272.359;Removable;;b0ff7f6c347042479dae4da0465dd3ff;20090123131209;20210731081808;5727065
1502523274;1500633948;0.000;Removable;;92e8781cc9bd47ccb9e08904801ba74e;20091022155646;20210731081808;5727066
1502526192;1500641983;1048.264;Removable;;2d1282363e04479385373d652c2fc933;20090123131209;20210731081808;5727067
1502523030;1500648457;90.648;Removable;;d6a838f9235641bfa2c7a70b7ecd56e8;20150219114021;20210731081808;5727069
1502524540;1500656538;199.222;Removable;;96676fa4aee24afd8697f003f409f7b8;20090123131209;20210731081808;5727071
1502525110;1500657228;49.178;Removable;;a178209ca47a4c7e865d7ab9b08149b5;20090123131209;20210731081808;5727072
1502525565;1500658216;0.000;Removable;;7214f3ec19d44587a787b24438ff3ddb;20090123131209;20210731081808;5727073
1502523063;1500664589;49.758;Removable;;60032b7430fa43cabe16dc035aebe33a;20190801135148;20210731081808;5727074
1502525316;1500667525;107.391;Removable;;69bf93f174b6442c9d1f51bed033d0ea;20090123131209;20210731081808;5727075
