EVENT_ID;ORN_ROAD_NET_ELEMENT_ID;AT_MEASURE;UNDERPASS_TYPE;AGENCY_NAME;EFFECTIVE_DATETIME;SYSTEM_DATETIME;OBJECTID
7831;1500314449;354.937;Road;MINISTRY OF NORTHERN DEVELOPMENT, MINES, NATURAL RESOURCES AND FORESTRY;20160620190811;20210731081808;499233
7833;1500534255;267.240;Road;MINISTRY OF NORTHERN DEVELOPMENT, MINES, NATURAL RESOURCES AND FORESTRY;20160620190812;20210731081808;499249
7886;1500595679;1403.504;Road;MINISTRY OF NORTHERN DEVELOPMENT, MINES, NATURAL RESOURCES AND FORESTRY;20160620190811;20210731081808;499265
7905;1500445055;195.998;Road;MINISTRY OF NORTHERN DEVELOPMENT, MINES, NATURAL RESOURCES AND FORESTRY;20160620190810;20210731081808;499297
7910;1500534205;335.909;Road;MINISTRY OF NORTHERN DEVELOPMENT, MINES, NATURAL RESOURCES AND FORESTRY;20160620190811;20210731081808;499313
7917;1500351437;434.988;Road;MINISTRY OF NORTHERN DEVELOPMENT, MINES, NATURAL RESOURCES AND FORESTRY;20160620190812;20210731081808;499329
7938;1500313912;829.208;Road;MINISTRY OF NORTHERN DEVELOPMENT, MINES, NATURAL RESOURCES AND FORESTRY;20160620190811;20210731081808;499361
7986;1500562461;109.357;Road;MINISTRY OF NORTHERN DEVELOPMENT, MINES, NATURAL RESOURCES AND FORESTRY;20160620190811;20210731081808;499393
7990;1500590059;132.878;Road;MINISTRY OF NORTHERN DEVELOPMENT, MINES, NATURAL RESOURCES AND FORESTRY;20160620190812;20210731081808;499409
8004;1500373824;230.106;Road;MINISTRY OF NORTHERN DEVELOPMENT, MINES, NATURAL RESOURCES AND FORESTRY;20160620190811;20210731081808;499425
8020;4621086;637.464;Road;MINISTRY OF NORTHERN DEVELOPMENT, MINES, NATURAL RESOURCES AND FORESTRY;20160620190811;20210731081808;499441
8090;1500590059;93.594;Road;MINISTRY OF NORTHERN DEVELOPMENT, MINES, NATURAL RESOURCES AND FORESTRY;20160620190812;20210731081808;499473
8099;1500498857;1265.889;Road;MINISTRY OF NORTHERN DEVELOPMENT, MINES, NATURAL RESOURCES AND FORESTRY;20160620190812;20210731081808;499505
8115;1500455490;383.781;Road;MINISTRY OF NORTHERN DEVELOPMENT, MINES, NATURAL RESOURCES AND FORESTRY;20160620190813;20210731081808;499521
8126;1507251412;15.583;Road;MINISTRY OF NORTHERN DEVELOPMENT, MINES, NATURAL RESOURCES AND FORESTRY;20160620190812;20210731081808;499537
8143;3894415;641.709;Road;MINISTRY OF NORTHERN DEVELOPMENT, MINES, NATURAL RESOURCES AND FORESTRY;20191203163902;20210731081808;499553
8147;5533946;273.608;Road;MINISTRY OF NORTHERN DEVELOPMENT, MINES, NATURAL RESOURCES AND FORESTRY;20160620190813;20210731081808;499569
8151;1500602678;292.680;Road;MINISTRY OF NORTHERN DEVELOPMENT, MINES, NATURAL RESOURCES AND FORESTRY;20160620190812;20210731081808;499585
8159;1509792111;164.473;Road;MINISTRY OF NORTHERN DEVELOPMENT, MINES, NATURAL RESOURCES AND FORESTRY;20160620190813;20210731081808;499601
9528;1500502474;400.842;Road;MINISTRY OF NORTHERN DEVELOPMENT, MINES, NATURAL RESOURCES AND FORESTRY;20160620190812;20210731081808;499649
9530;1500676374;313.453;Road;MINISTRY OF NORTHERN DEVELOPMENT, MINES, NATURAL RESOURCES AND FORESTRY;20160620190813;20210731081808;499665
9551;1510925235;366.155;Road;MINISTRY OF NORTHERN DEVELOPMENT, MINES, NATURAL RESOURCES AND FORESTRY;20160620190813;20210731081808;499697
9558;1500711440;115.853;Road;MINISTRY OF NORTHERN DEVELOPMENT, MINES, NATURAL RESOURCES AND FORESTRY;20201022165629;20210731081808;499713
9588;1500594084;66.066;Road;MINISTRY OF NORTHERN DEVELOPMENT, MINES, NATURAL RESOURCES AND FORESTRY;20160620190812;20210731081808;499745
9606;1500330497;58.335;Road;MINISTRY OF NORTHERN DEVELOPMENT, MINES, NATURAL RESOURCES AND FORESTRY;20160620190813;20210731081808;499761
